ID,title,category,content,keywords,isActive,createdAt,modifiedAt
hp001,Yıllık İzin Hakları,İzin,"Tüm çalışanlar yılda 14 gün ücretli yıllık izin hakkına sahiptir. 5 yılını dolduran çalışanlar 20 gün, 15 yılını dolduranlar 26 gün izin hakkı kazanır. İzinler en az 3 gün önceden talep edilmelidir. Yönetici onayı gereklidir. Kullanılmayan izinler bir sonraki yıla devredilebilir ancak 5 günü aşamaz.",izin yıllık izin tatil hak gün süre devir,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp002,Hastalık İzni,İzin,"Çalışanlar yılda 10 güne kadar ücretli hastalık izni kullanabilir. 2 günü aşan hastalık izinlerinde doktor raporu zorunludur. Kronik hastalık durumunda İK ile görüşülmeli ve ek düzenlemeler yapılabilir.",hastalık rapor doktor sağlık izin,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp003,Uzaktan Çalışma Politikası,Çalışma Koşulları,"Şirketimiz hibrit çalışma modeli uygulamaktadır. Çalışanlar haftada 2 gün ofiste 3 gün evden çalışabilir. Ofis günleri departman yöneticisi ile koordine edilmelidir. Uzaktan çalışma günlerinde 09:00-18:00 arası erişilebilir olunmalıdır. VPN kullanımı zorunludur.",uzaktan çalışma evden home office hibrit remote,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp004,Performans Değerlendirme Süreci,Performans,"Performans değerlendirmeleri yılda 2 kez yapılır: Haziran ve Aralık. Süreç: 1) Çalışan öz değerlendirme yapar 2) Yönetici değerlendirme yapar 3) Birebir görüşme yapılır 4) İK onaylar. Değerlendirme puanları 1-5 arası: 1-Yetersiz 2-Geliştirilmeli 3-Beklentiyi Karşılıyor 4-Beklentinin Üstünde 5-Olağanüstü.",performans değerlendirme puan rating dönem süreç hedef,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp005,Yan Haklar ve Menfaatler,Yan Haklar,"Çalışanlarımıza sunulan yan haklar: Özel sağlık sigortası (çalışan ve ailesi), yemek kartı (günlük 150 TL), ulaşım desteği (aylık 1500 TL), spor salonu üyeliği, yılda 2 kez check-up, doğum günü izni (1 gün), evlilik izni (5 gün), çocuk yardımı (çocuk başına aylık 500 TL).",yan hak sigorta yemek ulaşım spor check-up menfaat,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp006,İşe Alım Süreci,İşe Alım,"İşe alım süreci: 1) Pozisyon talebi departman yöneticisi tarafından açılır 2) İK ilan yayınlar 3) Başvurular toplanır ve ön eleme yapılır 4) Teknik mülakat (departman) 5) İK mülakatı 6) Referans kontrolü 7) Teklif hazırlama ve gönderme. Ortalama süre: 3-4 hafta.",işe alım mülakat başvuru ilan pozisyon süreç aday,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp007,Eğitim ve Gelişim,Eğitim,"Her çalışan yılda en az 40 saat eğitim alma hakkına sahiptir. Eğitim bütçesi kişi başı yıllık 5000 TL'dir. Online kurslar Udemy Business hesabından ücretsiz alınabilir. Sertifika programları İK onayı ile karşılanır. Konferans katılımları yönetici onayı ile mümkündür.",eğitim kurs sertifika gelişim öğrenme konferans bütçe,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp008,Disiplin Prosedürü,Disiplin,"Disiplin süreci: 1) Sözlü uyarı 2) Yazılı uyarı 3) Son uyarı 4) İş akdi feshi. Her aşamada çalışana savunma hakkı verilir. Ciddi suistimal durumlarında (hırsızlık, taciz, gizlilik ihlali) doğrudan fesih uygulanabilir. Tüm süreç İK tarafından belgelenir.",disiplin uyarı ceza fesih prosedür kural ihlal,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp009,Fazla Mesai Politikası,Çalışma Koşulları,"Fazla mesai yönetici onayı ile yapılır. Haftalık çalışma süresi 45 saati aşamaz (yasal sınır). Fazla mesai ücreti: hafta içi %50 zamlı, hafta sonu %100 zamlı, resmi tatil %100 zamlı. Aylık fazla mesai 45 saati geçemez. Fazla mesai yerine izin kullanımı tercih edilebilir.",fazla mesai overtime saat ücret zamlı hafta sonu,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp010,Bilgi Güvenliği Politikası,Güvenlik,"Tüm çalışanlar bilgi güvenliği eğitimini tamamlamalıdır. Şirket bilgileri üçüncü taraflarla paylaşılamaz. Güçlü parola politikası: en az 12 karakter, büyük/küçük harf, rakam ve özel karakter. 2FA zorunludur. USB cihazları IT onayı olmadan kullanılamaz. Veri sızıntısı durumunda derhal IT'ye bildirilmelidir.",güvenlik parola bilgi gizlilik veri koruma IT,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp011,Terfi ve Kariyer Yolu,Kariyer,"Terfi kriterleri: en az 2 yıl mevcut pozisyonda çalışma, son 2 performans değerlendirmesinde 4+ puan, gerekli yetkinlikleri karşılama, yönetici önerisi. Kariyer yolu seçenekleri: Teknik track (Junior → Mid → Senior → Lead → Principal) veya Yönetim track (Uzman → Takım Lideri → Müdür → Direktör).",terfi kariyer yükselme pozisyon seviye track,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
hp012,İstifa ve İşten Ayrılma,İşten Ayrılma,"İstifa ihbar süresi pozisyona göre değişir: 0-6 ay çalışma 2 hafta, 6 ay-1.5 yıl 4 hafta, 1.5-3 yıl 6 hafta, 3+ yıl 8 hafta. Çıkış mülakatı İK tarafından yapılır. Şirket ekipmanları son iş gününde iade edilir. Erişim hakları son gün sonlandırılır.",istifa ayrılma çıkış ihbar süre iade,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
