ID,employee_ID,skill_ID,proficiency,yearsOfExp,certified,createdAt,modifiedAt
es001,e001,s001,4,7,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es002,e001,s005,5,5,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es003,e001,s006,4,6,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es004,e001,s010,4,5,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es005,e001,s011,4,10,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es006,e002,s008,5,6,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es007,e002,s009,5,8,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es008,e002,s010,4,5,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es009,e002,s011,3,6,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es010,e003,s001,5,8,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es011,e003,s005,4,5,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es012,e003,s007,5,8,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es013,e003,s015,4,5,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es014,e003,s016,5,7,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es015,e004,s001,3,3,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es016,e004,s015,3,2,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es017,e004,s016,2,2,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es018,e005,s013,5,10,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es019,e005,s014,4,8,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es020,e005,s010,4,6,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es021,e009,s017,4,3,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es022,e009,s005,3,3,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es023,e034,s002,5,7,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es024,e034,s018,4,5,true,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
es025,e034,s007,5,7,false,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
