ID,name,category,description,createdAt,modifiedAt
s001,JavaScript,Technical,Web geliştirme programlama dili,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s002,Python,Technical,Genel amaçlı programlama dili,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s003,SAP ABAP,Technical,SAP uygulama geliştirme dili,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s004,SAP Fiori,Technical,SAP kullanıcı deneyimi framework,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s005,SAP CAP,Technical,Cloud Application Programming Model,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s006,HANA,Technical,SAP HANA veritabanı yönetimi,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s007,SQL,Technical,Veritabanı sorgulama dili,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s008,Proje Yönetimi,Soft,Proje planlama ve yönetimi,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s009,İletişim,Soft,Etkili iletişim becerileri,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s010,Liderlik,Soft,Takım liderliği ve yönetimi,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s011,İngilizce,Language,İngilizce dil yetkinliği,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s012,Almanca,Language,Almanca dil yetkinliği,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s013,Excel,Technical,İleri düzey MS Excel,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s014,Veri Analizi,Technical,İstatistiksel veri analizi,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s015,React,Technical,React.js frontend framework,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s016,Node.js,Technical,Node.js backend geliştirme,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s017,Docker,Technical,Konteyner teknolojisi,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s018,Makine Öğrenmesi,Technical,ML algoritmaları ve uygulamaları,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s019,Müzakere,Soft,İş müzakere becerileri,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
s020,Sunum,Soft,Etkili sunum yapma,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
